Ano;LPA;P_L;VPA;P_VP;P_EBIT;P_EBITDA;P_Ativos;Ebitda;Marg_Ebitda;PSR;ROE;ROA;ROIC;EV_EBIT;EV_EBITDA;Div_Yield;Div_Payout;Beta;Valorizacao;Negocios_dia;Volume_diario;Ticker
2017;-8.06;-0.45;-16.36;-0.22;-1.27;1.09;0.04;2748.0;0.12;0.13;0.49;-0.1;-0.04;-24.13;20.73;0.0;-0.01;0.65;0.38;1686;8;OIBR3
2018;10.02;0.12;9.32;0.13;-0.58;5.66;0.05;543.0;0.02;0.14;1.08;0.38;-0.09;-4.03;39.07;0.0;0.0;0.78;-0.65;4729;19;OIBR3
2019;-1.53;-0.56;2.99;0.29;-1.72;1.31;0.07;3897.0;0.19;0.25;-0.51;-0.13;-0.05;-8.5;6.5;0.0;0.0;0.53;-0.32;17993;100;OIBR3
2020;-1.77;-1.24;1.3;1.69;-7.23;5.18;0.18;2530.0;0.27;1.41;-1.36;-0.14;-0.03;-17.33;12.4;0.0;0.0;0.81;1.56;30279;248;OIBR3
2021;-1.31;-1.16;0.72;2.12;-4.88;1.54;0.13;5875.0;0.87;1.34;-1.82;-0.11;-0.03;-18.56;5.86;0.0;0.0;1.15;-0.35;24356;219;OIBR3
1999;-9.76;-26.81;23.37;11.2;-34.47;0.0;5.14;0.0;0.0;9.2;-0.42;-0.19;-0.16;-224.08;0.0;0.0;0.0;0.0;4.25;2;551;CGAS3
2001;5.42;16.59;69.1;1.3;11.85;0.0;0.63;0.0;0.0;1.24;0.08;0.04;0.06;227.76;0.0;0.0096;0.0;3.51;-0.4;2;0;CGAS3
2002;9.01;7.66;73.94;0.93;3.29;0.0;0.38;0.0;0.0;0.65;0.12;0.05;0.14;83.24;0.0;0.018799999999999997;0.0;-0.36;-0.23;1;0;CGAS3
2003;8.76;17.35;76.03;2.0;7.92;0.0;0.81;0.0;0.0;0.94;0.12;0.05;0.12;90.96;0.0;0.0143;0.0;-34.89;0.77;2;0;CGAS3
2004;20.28;9.32;78.87;2.4;5.37;0.0;1.01;0.0;0.0;1.02;0.26;0.11;0.22;49.2;0.0;0.011000000000000001;0.0;0.0;0.0;2;0;CGAS3
2005;26.79;8.21;73.53;2.99;4.93;0.0;1.02;0.0;0.0;1.05;0.36;0.12;0.24;39.33;0.0;0.1127;0.0;4.36;0.16;1;0;CGAS3
2006;35.8;8.52;87.63;3.48;5.16;0.0;1.24;0.0;0.0;1.23;0.41;0.15;0.28;30.05;0.0;0.08839999999999999;0.0;1.07;0.17;6;2;CGAS3
2007;3.7;10.55;8.98;4.34;6.18;0.0;1.49;0.0;0.0;1.46;0.41;0.14;0.27;28.34;0.0;0.6072;0.0;0.43;0.35;5;1;CGAS3
2008;4.31;7.43;9.49;3.37;4.56;0.0;0.96;0.0;0.0;0.96;0.45;0.13;0.25;25.96;0.0;0.0478;0.0;0.34;-0.15;3;0;CGAS3
2009;3.08;9.87;10.67;2.85;5.71;4.37;0.95;833.0;0.21;0.94;0.29;0.1;0.19;34.28;26.26;0.054900000000000004;0.72;0.22;-0.04;3;0;CGAS3
2010;4.86;7.64;11.48;3.23;4.57;3.76;1.16;1182.0;0.29;1.09;0.42;0.15;0.3;22.17;18.25;0.0943;0.76;0.02;0.25;6;0;CGAS3
2011;1.99;21.39;10.4;4.09;10.7;7.09;1.18;718.0;0.17;1.24;0.19;0.06;0.13;46.42;30.78;0.0294;1.86;0.51;0.18;8;0;CGAS3
2012;3.08;17.63;18.84;2.88;9.67;6.76;1.09;962.0;0.18;1.23;0.16;0.06;0.13;33.54;23.45;0.03;0.53;0.11;0.34;15;1;CGAS3
2013;5.17;10.05;22.17;2.35;5.81;4.44;0.9;1404.0;0.22;0.98;0.23;0.09;0.19;21.01;16.05;0.0177;0.0;0.12;-0.01;7;0;CGAS3
2014;5.03;9.54;25.5;1.88;5.57;4.08;0.77;1435.0;0.22;0.92;0.2;0.08;0.18;21.29;15.59;0.0325;0.45;0.24;-0.05;7;0;CGAS3
2015;5.65;6.55;25.65;1.44;3.92;3.0;0.52;1530.0;0.23;0.7;0.22;0.08;0.21;18.85;14.42;0.1389;0.88;0.17;-0.1;8;0;CGAS3
